scenario,year,variable,value
SSP5,2036,intercept,-8.28202860483627
SSP5,2037,intercept,-8.28202860483627
SSP5,2038,intercept,-8.28202860483627
SSP5,2039,intercept,-8.28202860483627
SSP5,2040,intercept,-8.28202860483627
SSP5,2041,intercept,-8.28202860483627
SSP5,2042,intercept,-8.28202860483627
SSP5,2043,intercept,-8.28202860483627
SSP5,2044,intercept,-8.28202860483627
SSP5,2045,intercept,-8.28202860483627
SSP5,2046,intercept,-8.28202860483627
SSP5,2047,intercept,-8.28202860483627
SSP5,2048,intercept,-8.28202860483627
SSP5,2049,intercept,-8.28202860483627
SSP5,2050,intercept,-8.28202860483627
SSP5,2051,intercept,-8.28202860483627
SSP5,2052,intercept,-8.28202860483627
SSP5,2053,intercept,-8.28202860483627
SSP5,2054,intercept,-8.28202860483627
SSP5,2055,intercept,-8.28202860483627
SSP5,2056,intercept,-8.28202860483627
SSP5,2057,intercept,-8.28202860483627
SSP5,2058,intercept,-8.28202860483627
SSP5,2059,intercept,-8.28202860483627
SSP5,2060,intercept,-8.28202860483627
SSP5,2061,intercept,-8.28202860483627
SSP5,2062,intercept,-8.28202860483627
SSP5,2063,intercept,-8.28202860483627
SSP5,2064,intercept,-8.28202860483627
SSP5,2065,intercept,-8.28202860483627
SSP5,2066,intercept,-8.28202860483627
SSP5,2067,intercept,-8.28202860483627
SSP5,2068,intercept,-8.28202860483627
SSP5,2069,intercept,-8.28202860483627
SSP5,2070,intercept,-8.28202860483627
SSP5,2071,intercept,-8.28202860483627
SSP5,2072,intercept,-8.28202860483627
SSP5,2073,intercept,-8.28202860483627
SSP5,2074,intercept,-8.28202860483627
SSP5,2075,intercept,-8.28202860483627
SSP5,2076,intercept,-8.28202860483627
SSP5,2077,intercept,-8.28202860483627
SSP5,2078,intercept,-8.28202860483627
SSP5,2079,intercept,-8.28202860483627
SSP5,2080,intercept,-8.28202860483627
SSP5,2081,intercept,-8.28202860483627
SSP5,2082,intercept,-8.28202860483627
SSP5,2083,intercept,-8.28202860483627
SSP5,2084,intercept,-8.28202860483627
SSP5,2085,intercept,-8.28202860483627
SSP5,2086,intercept,-8.28202860483627
SSP5,2087,intercept,-8.28202860483627
SSP5,2088,intercept,-8.28202860483627
SSP5,2089,intercept,-8.28202860483627
SSP5,2090,intercept,-8.28202860483627
SSP5,2091,intercept,-8.28202860483627
SSP5,2092,intercept,-8.28202860483627
SSP5,2093,intercept,-8.28202860483627
SSP5,2094,intercept,-8.28202860483627
SSP5,2095,intercept,-8.28202860483627
SSP5,2096,intercept,-8.28202860483627
SSP5,2097,intercept,-8.28202860483627
SSP5,2098,intercept,-8.28202860483627
SSP5,2099,intercept,-8.28202860483627
SSP5,2100,intercept,-8.28202860483627
SSP1,2013,displacement_beta,3.86395805781743
SSP1,2014,displacement_beta,1.99667278095855
SSP1,2015,displacement_beta,3.04497651385958
SSP1,2016,displacement_beta,2.42915354859384
SSP1,2017,displacement_beta,3.93118222176925
SSP1,2018,displacement_beta,3.23497662221184
SSP1,2019,displacement_beta,2.76002819029221
SSP1,2020,displacement_beta,2.7087266791295
SSP1,2021,displacement_beta,2.83949819022055
SSP1,2022,displacement_beta,2.80013307594717
SSP1,2023,displacement_beta,2.80788089429831
SSP1,2024,displacement_beta,2.92847110568587
SSP1,2025,displacement_beta,3.11090350720986
SSP1,2026,displacement_beta,3.50289276786384
SSP1,2027,displacement_beta,3.53902559683149
SSP1,2028,displacement_beta,3.54775828465582
SSP1,2029,displacement_beta,3.54886535547137
SSP1,2030,displacement_beta,3.55679744532841
SSP1,2031,displacement_beta,3.73655629155349
SSP1,2032,displacement_beta,3.834877892855
SSP1,2033,displacement_beta,3.9126507352252
SSP1,2034,displacement_beta,3.95287998092866
SSP1,2035,displacement_beta,3.93265636776703
SSP1,2036,displacement_beta,4.04462377355049
SSP1,2037,displacement_beta,3.94717327700211
SSP1,2038,displacement_beta,3.80131193085446
SSP1,2039,displacement_beta,3.66795058398167
SSP1,2040,displacement_beta,3.59728813231851
SSP1,2041,displacement_beta,3.73292540783982
SSP1,2042,displacement_beta,3.74103026780668
SSP1,2043,displacement_beta,3.74426178635266
SSP1,2044,displacement_beta,3.72809414306747
SSP1,2045,displacement_beta,3.7089791319757
SSP1,2046,displacement_beta,3.89494039059955
SSP1,2047,displacement_beta,3.90960649406451
SSP1,2048,displacement_beta,3.90976102616536
SSP1,2049,displacement_beta,3.9009310481958
SSP1,2050,displacement_beta,3.88817688449002
SSP1,2051,displacement_beta,4.11023324569025
