scenario,year,historical_humanitarian_needs,humanitarian_needs,intercept,displaced_persons,displacement_beta,tmax,prec,tmax_beta,prec_beta,conflict,conflict_beta,humanitarian_needs_label
SSP1,2085,0,21.0409356049233,-8282028604.83627,34418083.78125,4989617900.86952,5056.24166438729,181299.024137659,31063172770.9417,-10221045727.3822,45.7123136682559,3491219265.33053,1.3364977290248
SSP1,2086,0,21.0551264586099,-8282028604.83627,34270260.703125,4968187867.7084,5056.10999774635,181394.710509955,31062363872.9722,-10226440211.9437,46.2599401492878,3533043534.70921,1.33739911687566
SSP1,2087,0,21.037488806049,-8282028604.83627,34203116.375,4958453899.26078,5055.97833110541,181490.396882251,31061554975.0028,-10231834696.5052,46.2376772338562,3531343233.12699,1.33627879204622
SSP1,2088,0,21.0195792145618,-8282028604.83627,34136588.9609375,4948809365.35196,5055.84666446448,181586.083254547,31060746077.0333,-10237229181.0667,46.210682671417,3529281558.07963,1.33514119394698
SSP1,2089,0,21.0005392962592,-8282028604.83627,34063630.140625,4938232465.19183,5055.71499782354,181681.769626843,31059937179.0638,-10242623665.6282,46.1810961103908,3527021922.46811,1.33393179869716
SSP1,2090,0,20.9810782629627,-8282028604.83627,33990514.3828125,4927632813.67329,5055.5833311826,181777.455999139,31059128281.0943,-10248018150.1897,46.1462935711999,3524363923.22118,1.33269565467327
SSP1,2091,0,20.9977100126061,-8282028604.83627,33845597.5859375,4906624106.49425,5055.45166454167,181873.142371435,31058319383.1248,-10253412634.7512,46.7203633114907,3568207762.57465,1.33375208562508
SSP1,2092,0,20.978539951759,-8282028604.83627,33772520.5546875,4896030069.19732,5055.31999790073,181968.828743732,31057510485.1553,-10258807119.3127,46.6892971130512,3565835121.55544,1.33253442386001
SSP1,2093,0,20.9592979168442,-8282028604.83627,33698380.265625,4885281890.54121,5055.18833125979,182064.515116028,31056701587.1858,-10264201603.8742,46.659306772848,3563544647.8277,1.33131219037912
SSP1,2094,0,20.9400732303737,-8282028604.83627,33624610.0234375,4874587357.88478,5055.05666461885,182160.201488324,31055892689.2163,-10269596088.4357,46.6288411702487,3561217876.54466,1.33009105885287
SSP1,2095,0,20.9212555653365,-8282028604.83627,33553394.8984375,4864263242.66758,5054.92499797791,182255.88786062,31055083791.2468,-10274990572.9973,46.5988548424046,3558927709.2557,1.32889578089281
SSP1,2096,0,20.9532150366201,-8282028604.83627,33401995.1796875,4842314700.97471,5054.79333133698,182351.574232916,31054274893.2773,-10280385057.5588,47.3859239886361,3619039104.7631,1.33092581233215
SSP1,2097,0,20.9358734757014,-8282028604.83627,33340051.6875,4833334701.98855,5054.66166469604,182447.260605212,31053465995.3078,-10285779542.1203,47.3576658454894,3616880925.36154,1.32982429492719
SSP1,2098,0,20.9183511787858,-8282028604.83627,33280350.0859375,4824679711.72936,5054.5299980551,182542.946977508,31052657097.3383,-10291174026.6818,47.322785728845,3614217001.2362,1.32871129736498
SSP1,2099,0,20.9009949399103,-8282028604.83627,33222454.828125,4816286588.6086,5054.39833141417,182638.633349805,31051848199.3688,-10296568511.2433,47.2866511348316,3611457268.01246,1.32760884763189
SSP1,2100,0,20.8844241652013,-8282028604.83627,33169074.1953125,4808547954.38556,5054.26666477323,182734.319722101,31051039301.3993,-10301962995.8048,47.2522314667831,3608828510.05746,1.32655628974271
SSP2,2013,10957813875,17.0470182449839,-8282028604.83627,26726248.5625,3874526225.75071,4744.11100382109,174897.633521158,29145588667.997,-9860156271.29552,28.4009779644076,2169088227.36801,1.08280836930723
