Scenario,year,pop
SSP4,2070,9398.74450228582
SSP4,2071,9402.51715267576
SSP4,2072,9405.40432569953
SSP4,2073,9407.40652511891
SSP4,2074,9408.52425469568
SSP4,2075,9408.75801819164
SSP4,2076,9408.11713249454
SSP4,2077,9406.64616699603
SSP4,2078,9404.39850421373
SSP4,2079,9401.42752666525
SSP4,2080,9397.78661686823
SSP4,2081,9393.5198716406
SSP4,2082,9388.63424500161
SSP4,2083,9383.12740527082
SSP4,2084,9376.99702076782
SSP4,2085,9370.24075981216
SSP4,2086,9362.86907515744
SSP4,2087,9354.94355729327
SSP4,2088,9346.5385811433
SSP4,2089,9337.72852163118
SSP4,2090,9328.58775368054
SSP4,2091,9319.17608696635
SSP4,2092,9309.49507016886
SSP4,2093,9299.53168671965
SSP4,2094,9289.2729200503
SSP4,2095,9278.7057535924
SSP4,2096,9267.82008382726
SSP4,2097,9256.61745943512
SSP4,2098,9245.10234214599
SSP4,2099,9233.27919368986
SSP4,2100,9221.15247579671
SSP5,2011,6898.26622217503
SSP5,2012,6964.76312440998
SSP5,2013,7036.71143060242
SSP5,2014,7110.67619625195
SSP5,2015,7183.2224768582
SSP5,2016,7251.63256094706
SSP5,2017,7316.05766914963
SSP5,2018,7377.3662551233
SSP5,2019,7436.42677252545
SSP5,2020,7494.10767501348
SSP5,2021,7551.07086332642
SSP5,2022,7607.15202652979
SSP5,2023,7661.98030077079
SSP5,2024,7715.18482219657
SSP5,2025,7766.39472695432
SSP5,2026,7815.34765166346
SSP5,2027,7862.21523483239
SSP5,2028,7907.27761544175
SSP5,2029,7950.81493247221
SSP5,2030,7993.1073249044
SSP5,2031,8034.36429251323
SSP5,2032,8074.51277825063
SSP5,2033,8113.40908586278
SSP5,2034,8150.90951909587
SSP5,2035,8186.87038169608
SSP5,2036,8221.17092686067
SSP5,2037,8253.78220559128
SSP5,2038,8284.69821834062
SSP5,2039,8313.91296556139
SSP5,2040,8341.4204477063
SSP5,2041,8367.20989507252
SSP5,2042,8391.25145733501
SSP5,2043,8413.51051401316
SSP5,2044,8433.95244462639
SSP5,2045,8452.5426286941
SSP5,2046,8469.2628904223
SSP5,2047,8484.16083276343
SSP5,2048,8497.30050335651
SSP5,2049,8508.7459498406
SSP5,2050,8518.56121985471
SSP5,2051,8526.80079357845
SSP5,2052,8533.48088135362
SSP5,2053,8538.6081260626
SSP5,2054,8542.18917058776
SSP5,2055,8544.23065781147
SSP5,2056,8544.74226242128
SSP5,2057,8543.74578632544
SSP5,2058,8541.26606323741
SSP5,2059,8537.32792687063
SSP5,2060,8531.95621093853
SSP5,2061,8525.17416143908
SSP5,2062,8516.99867350834
SSP5,2063,8507.44505456692
SSP5,2064,8496.5286120354
SSP5,2065,8484.26465333437
SSP5,2066,8470.66908001828
SSP5,2067,8455.76017017699
SSP5,2068,8439.55679603421
SSP5,2069,8422.07782981368
SSP5,2070,8403.3421437391
SSP5,2071,8383.36828850081
SSP5,2072,8362.17352865562
SSP5,2073,8339.77480722699
SSP5,2074,8316.18906723833
