displaced_persons,displaced_persons_t1,displaced_persons_t2,displaced_persons_t3,mean_displaced_persons_t1_o1,mean_displaced_persons_t2_o1,mean_displaced_persons_t3_o1,mean_displaced_persons_t1_o2,mean_displaced_persons_t2_o2,mean_displaced_persons_t3_o2,mean_displaced_persons_t1_o3,mean_displaced_persons_t2_o3,mean_displaced_persons_t3_o3,Region,year,pop,gdp,urban
0,0,0,0,0,0,0,0,0,0,0,0,0,NLD,1960,11.41846,,59.752
0,0,0,0,0,0,0,0,0,0,0,0,0,OMN,1960,0.557492,,16.4
0,0,0,0,0,0,0,0,0,0,0,0,0,PRT,1960,8.882954,,34.955
0,0,0,0,0,0,0,0,0,0,0,0,0,PRI,1960,2.358747,,44.544
0,0,0,0,0,0,0,0,0,0,0,0,0,QAT,1960,0.047085,,85.237
0,0,0,0,0,0,0,0,0,0,0,0,0,SVK,1960,4.093623,,33.464
0,0,0,0,0,0,0,0,0,0,0,0,0,SWZ,1960,0.349181,,3.913
0,0,0,0,0,0,0,0,0,0,0,0,0,SWE,1960,7.480001,,72.49
0,0,0,0,0,0,0,0,0,0,0,0,0,CHE,1960,5.296052,,51.019
0,0,0,0,0,0,0,0,0,0,0,0,0,TTO,1960,0.84121,,17.349
0,0,0,0,0,0,0,0,0,0,0,0,0,VCT,1960,0.080948,,25.943
0,0,0,0,0,0,0,0,0,0,0,0,0,TKM,1960,1.593501,,46.412
0,0,0,0,0,0,0,0,0,0,0,0,0,BEL,1960,9.152271,,92.46
0,0,0,0,0,0,0,0,0,0,0,0,0,MDG,1960,5.103652,,10.642
0,0,0,0,0,0,0,0,0,0,0,0,0,MUS,1960,0.659351,,33.177
0,0,0,0,0,0,0,0,0,0,0,0,0,SLB,1960,0.118054,,5.768
0,0,0,0,0,0,0,0,0,0,0,0,0,PNG,1960,1.966961,,3.725
0,0,0,0,0,0,0,0,0,0,0,0,0,BRN,1960,0.079846,,43.401
0,0,0,0,0,0,0,0,0,0,0,0,0,TON,1960,0.061601,,17.552
0,0,0,0,0,0,0,0,0,0,0,0,0,PRK,1960,10.946479,,40.195
0,0,0,0,0,0,0,0,0,0,0,0,0,ISL,1960,0.175998,,80.3
0,0,0,0,0,0,0,0,0,0,0,0,0,MNG,1960,0.957044,,35.679
0,0,0,0,0,0,0,0,0,0,0,0,0,LCA,1960,0.090213,,21.46
0,0,0,0,0,0,0,0,0,0,0,0,0,FIN,1960,4.430001,,55.29
0,0,0,0,0,0,0,0,0,0,0,0,0,ARE,1960,0.089871,,73.5
0,0,0,0,0,0,0,0,0,0,0,0,0,TLS,1960,0.499676,,10.091
0,0,0,0,0,0,0,0,0,0,0,0,0,MAC,1960,0.17145,,95.289
0,0,0,0,0,0,0,0,0,0,0,0,0,AUS,1960,10.286184,,81.529
0,0,0,0,0,0,0,0,0,0,0,0,0,BHS,1960,0.109527,,59.654
0,0,0,0,0,0,0,0,0,0,0,0,0,WSM,1960,0.109917,,18.926
0,0,0,0,0,0,0,0,0,0,0,0,0,NZL,1960,2.372,,75.998
0,0,0,0,0,0,0,0,0,0,0,0,0,NOR,1960,3.580998,,49.92
0,0,0,0,0,0,0,0,0,0,0,0,0,FSM,1960,0.044536,,22.312
0,0,0,0,0,0,0,0,0,0,0,0,0,MDV,1960,0.09005,,11.173
0,0,0,0,0,0,0,0,0,0,0,0,0,NCL,1960,0.078005,,37.36
0,0,0,0,0,0,0,0,0,0,0,0,0,MNE,1960,0.466674,,18.788
0,0,0,0,0,0,0,0,0,0,0,0,0,VUT,1960,0.063702,,10.404
0,0,0,0,0,0,0,0,0,0,0,0,0,LUX,1960,0.314002,,69.556
0,0,0,0,0,0,0,0,0,0,0,0,0,ABW,1960,0.054209,,50.776
0,,,,,,,,,,,,,GLP,1960,0.275526,,95.666
0,,,,,,,,,,,,,GUF,1960,0.032377,,63.327
0,,,,,,,,,,,,,GUM,1960,0.067436,,50.147
0,,,,,,,,,,,,,MTQ,1960,0.281865,,40.089
0,,,,,,,,,,,,,MYT,1960,0.024055,,16.333
0,,,,,,,,,,,,,PYF,1960,0.079335,,42.444
0,,,,,,,,,,,,,R32AUNZ,1960,12.658184,,
0,,,,,,,,,,,,,R32BRA,1960,72.758801,,
0,,,,,,,,,,,,,R32CAN,1960,17.909009,,
0,,,,,,,,,,,,,R32CAS,1960,34.32439,,
0,,,,,,,,,,,,,R32CHN,1960,661.517149,,
0,,,,,,,,,,,,,R32EEU,1960,18.27783,,
0,,,,,,,,,,,,,R32EEU-FSU,1960,53.976516,,
0,,,,,,,,,,,,,R32EFTA,1960,9.053048,,
0,,,,,,,,,,,,,R32EU12-H,1960,56.313005,,
0,,,,,,,,,,,,,R32EU12-M,1960,31.175749,,
0,,,,,,,,,,,,,R32EU15,1960,315.442663,,
0,,,,,,,,,,,,,R32IDN,1960,91.946612,,
0,,,,,,,,,,,,,R32IND,1960,447.844159,,
0,,,,,,,,,,,,,R32JPN,1960,92.500572,,
0,,,,,,,,,,,,,R32KOR,1960,25.074152,,
0,,,,,,,,,,,,,R32LAM-L,1960,11.891516,,
0,,,,,,,,,,,,,R32LAM-M,1960,94.546228,,
0,,,,,,,,,,,,,R32MEA-H,1960,7.251376,,
0,,,,,,,,,,,,,R32MEA-M,1960,42.934209,,
0,,,,,,,,,,,,,R32MEX,1960,38.418829,,
0,,,,,,,,,,,,,R32NAF,1960,55.9316,,
0,,,,,,,,,,,,,R32OAS-CPA,1960,43.692975,,
0,,,,,,,,,,,,,R32OAS-L,1960,121.014389,,
0,,,,,,,,,,,,,R32OAS-M,1960,47.747276,,
0,,,,,,,,,,,,,R32PAK,1960,55.59125,,
0,,,,,,,,,,,,,R32RUS,1960,119.905701,,
0,,,,,,,,,,,,,R32SAF,1960,17.396477,,
0,,,,,,,,,,,,,R32SSA-L,1960,205.508127,,
0,,,,,,,,,,,,,R32SSA-M,1960,7.887635,,
0,,,,,,,,,,,,,R32TUR,1960,28.160579,,
0,,,,,,,,,,,,,R32USA,1960,188.717594,,
0,,,,,,,,,,,,,R5.2ASIA,1960,1494.254389,,
0,,,,,,,,,,,,,R5.2LAM,1960,216.97663,,
0,,,,,,,,,,,,,R5.2MAF,1960,336.779675,,
