iso3,lon,lat
WB465,-3.22152304,54.22701163
WB466,-3.03072914,54.20555217
WB467,-2.84575906,54.20451917
WB468,6.25612085,57.75463703
WB469,10.26362159,63.27551324
WB470,17.64068862,61.48733349
WB471,17.94919002,62.65819688
WB472,17.88994447,62.87492016
WB473,13.3148178,54.2686077
WB474,21.07101669,59.00947304
WB475,21.93916188,63.17858675
WB476,140.97132221,56.19915472
WB477,151.76879506,57.49718881
WB478,161.20170762,54.29032569
WB479,161.89934676,55.43314376
WB480,161.99760574,58.07871758
WB481,171.98115851,57.60804061
WB482,163.24098754,61.57407279
WB483,-170.9767909,67.88866387
WB484,-162.04735765,70.17223961
WB485,-152.23184885,71.24315141
WB486,-161.16094609,66.61289803
WB487,-161.65032651,66.27045285
WB488,-161.45897939,64.13747314
WB489,-135.19179842,70.77674063
WB490,-118.50977712,69.96996541
WB491,-108.20729726,67.00096229
WB492,-108.13791182,71.87131207
WB493,-91.0732666,63.49783056
WB494,-107.70119388,67.09665121
WB495,-98.25470432,70.05933986
WB496,-90.0875159,63.93935056
WB497,-90.04496639,64.12938663
WB498,-90.76787629,65.89497813
WB499,-90.00129855,65.94686792
WB500,-107.99641573,68.16918869
WB501,-106.94906205,68.2771137
WB502,-107.7218093,71.84870694
WB503,-73.34153732,71.74081367
WB504,-80.74195904,66.59321071
WB505,-89.99405571,68.42690208
WB506,-89.99622415,68.39746869
WB507,-72.00276454,63.75620908
WB508,-72.23842128,70.86254288
WB509,-75.67906535,71.98607982
WB510,-77.11601114,72.15754091
WB511,-77.62719621,72.14399555
WB512,-78.41627333,72.18487618
WB513,-78.60532503,71.99717934
WB514,-79.46056674,72.19842741
WB515,-79.86908151,72.16895486
WB516,-80.25546116,72.2054148
WB517,-80.67124112,72.09231935
WB518,-84.40005926,72.07853975
WB519,-85.50799667,71.60521561
WB520,-89.99884358,71.99209696
WB521,-89.93386214,71.75047396
WB522,-89.99592484,71.61833627
WB523,-89.98394281,71.54011754
WB524,-89.99313751,71.48510727
WB525,-68.02870096,63.44736573
WB526,-60.73441409,67.96844568
WB527,-71.7260403,63.58105064
WB528,-71.79237829,63.16901885
WB529,-71.00956408,63.09920246
WB530,-66.82561898,63.25229384
WB531,-66.6810929,63.2968157
WB532,-65.12104131,63.27787432
WB533,-65.02287478,63.29395744
WB534,-64.95468812,63.4791047
WB535,-54.03601838,71.66384447
WB536,-52.54556669,71.07803133
WB537,-52.5923565,66.34216244
WB538,-38.25493622,64.39398118
WB539,-41.33288239,63.25793438
WB540,-41.21546076,63.25384619
WB541,-53.75503742,69.49976777
WB542,-50.46316278,63.20706956
WB543,-26.06622445,66.6548965
WB544,-25.44847497,72.16449805
WB545,-8.61272262,67.62613067
WB546,7.57774156,68.08248369
WB547,17.98231712,69.43788258
WB548,17.96183365,69.2764721
WB549,34.94892715,65.72195682
WB550,22.50570918,64.51088209
WB551,27.53297508,70.96216938
WB552,18.34886708,63.02867814
WB553,18.41691924,63.04123153
WB554,18.04706862,69.19318362
WB555,53.75650562,68.44967123
WB556,44.06833428,69.4030684
WB557,53.82257856,68.90253638
WB558,52.07448876,72.07759339
WB559,53.96266451,71.11669303
WB560,70.87707723,66.58221571
WB561,61.0213734,70.43486983
WB562,71.99813179,67.10298324
WB563,71.96696138,67.13161869
WB564,71.92177535,71.47446957
WB565,54.05316405,71.20690763
WB566,54.10430229,71.1217309
WB567,82.46514782,71.39189364
WB568,76.67475436,71.6068985
WB569,73.87871639,69.0914372
WB570,133.82761396,71.72057967
WB571,156.97808461,71.29606459
WB572,145.6954289,71.86820351
WB573,170.91557068,70.78048543
WB574,178.90583958,64.15421349
WB575,-171,76.5
WB576,-153,76.5
WB577,-135,76.5
WB578,-117.15204528,77.34050236
WB579,-108.01513407,75.81033472
WB580,-108.00626274,74.95038725
WB581,-100.04794488,76.79504178
WB582,-90.03706145,78.5544659
WB583,-90.61429597,80.82796107
WB584,-100.89714798,72.20299427
WB585,-100.7910044,72.2035329
WB586,-107.94623006,73.20783411
WB587,-107.98541254,72.64425059
WB588,-107.87490065,72.2380401
WB589,-94.83972653,72.16449203
WB590,-90.57058825,76.06954629
WB591,-79.53905986,75.91806063
WB592,-75.50619605,72.13687093
WB593,-89.99884358,72.01825147
WB594,-85.86427254,81.07692072
WB595,-72.1687825,80.07441732
WB596,-72.18218639,80.19060321
WB597,-64.65567174,74.17744737
WB598,-68.45331744,79.77393222
WB599,-61.59478245,81.09178512
WB600,-63.15858672,80.93868664
WB601,-54.54243963,72.10873494
WB602,-53.7128108,72.18213372
WB603,-20.07691094,75.25990875
WB604,-19.34242369,80.57001831
WB605,-22.87824268,80.89496137
WB606,-18.07998695,75.2266588
WB607,-8.89482046,76.4655322
WB608,8.44452973,76.31182418
WB609,17.86564238,79.5257018
WB610,27.41732847,76.27777265
WB611,44.85026995,76.52037996
WB612,63.33797349,76.75089882
WB613,71.92477475,72.81458501
WB614,80.32178182,77.0827537
WB615,98.4745485,78.54103065
WB616,106.97209254,73.26096464
WB617,90.02277674,75.53146608
WB618,117.75397018,77.40323719
WB619,134.74006084,76.84314241
WB620,139.81539378,72.19038954
WB621,128.24958264,72.24918428
WB622,153.17165846,76.60734802
WB623,145.79184973,72.14818841
WB624,146.16293397,72.12656766
WB625,171,76.5
WB626,-171,85.5
WB627,-153,85.5
WB628,-135,85.5
WB629,-117,85.5
WB630,-99.05282102,85.54584241
WB631,-81.25669081,86.27367876
WB632,-89.82824516,81.61162424
WB633,-89.13665622,81.42443249
WB634,-86.62993337,81.13629439
WB635,-83.19962925,81.13267972
WB636,-78.06054171,81.26517177
WB637,-62.78392231,86.13078665
WB638,-45.32848797,86.32316705
