timeindep,conflict,ltsc0,Dec-50,Dec-60,Dec-70,Dec-80,Dec-90,Dec-00,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0
116,0,4.753590191,0,0,0,1,0,0,3,0,4.753590107,0,35,34,3.526360512,4.753590107,-7.385355473,114.0793839,-7.385355473,-7.062576294,-0.322779179,0.885453343,4.209082127,10.13729191,10.04405594,48.18852997,47.745327
117,0,4.762173935,0,0,0,1,0,0,3,0,4.762174129,0,36,35,3.555348158,4.762174129,-7.29026413,114.86026,-7.29026413,-7.062576294,-0.227687836,0.889674366,4.236783981,10.14808083,10.09095573,48.32692719,48.05488586
118,0,4.770684624,0,0,0,1,0,0,3,0,4.770684719,0,37,36,3.583518982,4.770684719,-7.250253201,112.1265411,-7.250253201,-7.062576294,-0.187676907,0.893917084,4.264596462,10.15981388,10.12835503,48.4692688,48.31918716
119,0,4.779123493,0,0,0,1,0,0,3,0,4.779123306,0,38,37,3.610917807,4.779123306,-7.562704086,112.8192444,-7.562704086,-7.062576294,-0.500127792,0.898309708,4.293133259,10.17262363,10.14222527,48.6162262,48.47094727
120,0,4.787491743,0,0,0,1,0,0,3,0,4.787491798,0,39,38,3.637586117,4.787491798,-6.239572048,110.6319656,-6.239572048,-7.062576294,0.823004246,0.902724087,4.321784019,10.18630695,10.17076015,48.76686096,48.69242859
121,0,4.795790546,0,0,0,1,0,0,3,0,4.795790672,0,40,39,3.663561583,4.795790672,-6.434732914,117.0210419,-6.434732914,-7.062576294,0.62784338,0.907160282,4.350550652,10.20041561,10.20639706,48.91905594,48.94774246
122,0,4.804021045,0,0,0,1,0,0,3,0,4.804020882,0,41,40,3.68887949,4.804020882,-7.51296711,107.055542,-7.51296711,-7.062576294,-0.450390816,0.911618412,4.379434109,10.21434402,10.21441746,49.0699234,49.07027817
123,0,4.812184355,0,0,0,0,1,0,3,0,4.812184334,0,42,41,3.713572025,4.812184334,-7.594062805,115.8991776,-7.594062805,-7.062576294,-0.531486511,0.916098654,4.408435822,10.22766304,10.20141029,49.2173996,49.09106827
124,0,4.820281566,0,0,0,0,1,0,3,0,4.820281506,0,43,42,3.737669706,4.820281506,-7.0177145,115.0610123,-7.0177145,-7.062576294,0.044861794,0.915920973,4.414997101,10.24029827,10.16666126,49.36112213,49.00616837
125,0,4.828313737,0,0,0,0,1,0,3,0,4.828313828,0,44,43,3.76120019,4.828313828,-7.474140167,108.5008316,-7.474140167,-7.062576294,-0.411563873,0.9165892,4.425580025,10.25235462,10.1631012,49.5015831,49.07064056
126,0,4.836281907,0,0,0,0,1,0,3,0,4.836281776,0,45,44,3.784189701,4.836281776,-6.958456039,107.6736679,-6.958456039,-7.062576294,0.104120255,0.91815567,4.440459728,10.26382732,10.1752739,49.63876343,49.21049118
127,0,4.844187086,0,0,0,0,1,0,3,0,4.84418726,0,46,45,3.80666256,4.84418726,-6.727706432,110.4313202,-6.727706432,-7.062576294,0.334869862,0.920676708,4.45993042,10.2747488,10.21258545,49.77280426,49.47167587
128,0,4.852030264,0,0,0,0,1,0,3,0,4.852030277,0,47,46,3.828641415,4.852030277,-6.746144772,109.0240097,-6.746144772,-7.062576294,0.316431522,0.924213111,4.48431015,10.28516865,10.2320013,49.90394974,49.64598083
129,0,4.859812404,0,0,0,0,1,0,3,0,4.85981226,0,48,47,3.850147486,4.85981226,-7.042280674,116.7279129,-7.042280674,-7.062576294,0.02029562,0.91358906,4.439871311,10.29506874,10.23728752,50.03210449,49.751297
130,0,4.86753445,0,0,0,0,1,0,3,0,4.867534637,0,49,48,3.871201038,4.867534637,-6.734137535,113.4164352,-6.734137535,-7.062576294,0.328438759,0.907882571,4.419149876,10.30449295,10.26810837,50.15747452,49.98036957
131,0,4.875197323,0,0,0,0,1,0,3,0,4.875197411,0,50,49,3.891820192,4.875197411,-4.954762936,108.4320145,-4.954762936,-7.062576294,2.107813358,0.907442093,4.423959255,10.31362724,10.29960918,50.28096771,50.21262741
132,0,4.882801923,0,0,0,0,1,0,3,0,4.88280201,0,51,50,3.912023067,4.88280201,-5.706508636,117.5265121,-5.706508636,-7.062576294,1.356067657,0.912676394,4.456418037,10.3227129,10.34517765,50.40376282,50.51345444
133,0,4.890349128,0,0,0,0,0,1,3,0,4.890348911,0,52,51,3.931825638,4.890348911,-6.421343803,110.8953629,-6.421343803,-7.062576294,0.641232491,0.924061835,4.518984795,10.33193398,10.38735676,50.52676392,50.79780197
134,0,4.8978398,0,0,0,0,0,1,3,2,0,0,1,52,3.951243639,4.897840023,-5.634216309,108.3478622,,-7.062576294,1.428359985,0.926488757,4.537793636,10.34131622,10.39494228,50.65010834,50.91276169
135,0,4.905274778,0,0,0,0,0,1,3,0,4.905274868,1,1,1,0,4.905274868,-6.68175745,110.8863983,,-7.062576294,0.380818844,0.928936899,4.556690693,10.35085392,10.41479683,50.77378082,51.08744049
136,0,4.912654886,0,0,0,0,0,1,3,0,4.912654877,0,2,1,0,4.912654877,-6.03897953,112.8287888,,-7.062576294,1.023596764,0.931406379,4.575677872,10.3606472,10.4234705,50.89828491,51.20691299
137,0,4.919980926,0,0,0,0,0,1,3,0,4.919981003,0,3,2,0.693147182,4.919981003,-7.394626141,113.1138611,,-7.062576294,-0.332049847,0.933897436,4.594757557,10.37080288,10.44417286,51.02415085,51.38513184
138,0,4.927253685,0,0,0,0,0,1,3,0,4.927253723,0,4,3,1.098612309,4.927253723,-5.813344955,125.6928177,,-7.062576294,1.249231339,0.936410248,4.613930702,10.38136959,10.46405792,51.15164185,51.55906677
139,0,4.934473933,0,0,0,0,0,1,3,0,4.934473991,0,5,4,1.386294365,4.934473991,-5.039646149,109.8422623,,-7.062576294,2.022930145,0.938557029,4.631285191,10.39240456,10.48375797,51.28104782,51.7318306
140,0,4.941642423,0,0,0,0,0,1,3,0,4.941642284,0,6,5,1.609437943,4.941642284,-6.679391861,113.3642654,,-7.062576294,0.383184433,0.940728426,4.648743629,10.40383244,10.49478912,51.41201782,51.86149597
141,0,4.94875989,0,0,0,0,0,1,3,0,4.948760033,0,7,6,1.791759491,4.948760033,-6.5242939,117.2471619,,-7.062576294,0.538282394,0.942924619,4.666307449,10.41540909,10.48987389,51.54335785,51.91186905
142,0,4.955827058,0,0,0,0,0,1,3,0,4.955827236,0,8,7,1.945910096,4.955827236,-5.930050373,108.0187607,,-7.062576294,1.132525921,0.945145845,4.683979511,10.42681313,10.44957638,51.67348099,51.78629303
143,0,4.96284463,0,0,0,0,0,1,3,0,4.962844849,0,9,8,2.079441547,4.962844849,-3.929286957,112.9163513,,-7.062576294,3.133289337,0.947396755,4.701782703,10.43460369,10.47255611,51.78531647,51.97366714
144,0,4.9698133,0,0,0,0,0,1,3,0,4.969813347,0,10,9,2.197224617,4.969813347,-5.818484306,113.6130066,,-7.062576294,1.244091988,0.950178444,4.722209454,10.4456234,10.48675632,51.91279984,52.11722183
145,0,4.976733742,0,0,0,0,0,1,3,0,4.976733685,0,11,10,2.302585125,4.976733685,-5.429549694,112.389328,,-7.062576294,1.6330266,0.952960134,4.742629051,10.45652199,10.50045586,52.03932571,52.25797272
146,0,4.983606622,0,0,0,0,0,0,3,0,4.983606815,0,12,11,2.397895336,4.983606815,-6.498817921,105.8268127,,-7.062576294,0.563758373,0.955741823,4.763041496,10.46730328,10.51368332,52.16492081,52.39606094
147,0,4.990432587,0,0,0,0,0,0,3,0,4.990432739,0,13,12,2.484906673,4.990432739,-6.514959812,,,-7.062576294,0.547616482,0.958523452,4.783446789,10.47797012,10.52646255,52.28960419,52.53160095
58,0,0,0,1,0,0,0,0,2,0,0,0,11,10,2.302585125,4.060442924,25.50744629,391.6891479,,25.62525368,-0.117807388,0.363945991,0,8.873626709,8.048377991,0,0
