humanitarian_needs,displaced_persons,climate_affected_persons,conflict,temp,gdp,pop,urban,iso3,lat,lon,year
0,186,1142,0,39,2.55264652822609,0.516736130323643,67.2775497473426,CPV,15.93614025,-23.96723977,2017
0,216,1142,0,39,2.66735912483118,0.518940818824297,68.0406223696132,CPV,15.93614025,-23.96723977,2018
0,260,1142,0,39,2.78183959381356,0.520972315453973,68.7723140298444,CPV,15.93614025,-23.96723977,2019
0,263,1142,0,39,2.8955617776799,0.522816948095023,69.4801927739808,CPV,15.93614025,-23.96723977,2020
0,283,1142,0,39,3.00827329252855,0.524463577318511,70.1703934049534,CPV,15.93614025,-23.96723977,2021
0,276,15637.5693359375,0,39,3.12081684882474,0.525911194450337,70.8433177536371,CPV,15.93614025,-23.96723977,2022
0,539,31671.7140514947,0,64,58.6959702127662,4.91248458669731,68.042997855794,CRI,9.97330952,-84.19359756,2014
0,587,31671.7140514947,0,64,61.5109949838413,4.972088900051,68.9752353004902,CRI,9.97330952,-84.19359756,2015
0,514,31671.7140514947,0,64,64.1611154643207,5.03041643643057,69.8373558396497,CRI,9.97330952,-84.19359756,2016
0,681,31671.7140514947,0,64,66.6662564614658,5.08746884216101,70.6331298576191,CRI,9.97330952,-84.19359756,2017
0,755,31671.7140514947,0,64,69.0904443263677,5.14322163704462,71.3761002794707,CRI,9.97330952,-84.19359756,2018
737611378,945,31671.7140514947,0,64,71.4977054101178,5.19765034088368,72.0798100302766,CRI,9.97330952,-84.19359756,2019
2.01e+09,1008,31671.7140514947,0,64,73.9520660638075,5.25073047348049,72.757802035109,CRI,9.97330952,-84.19359756,2020
0,1224,31671.7140514947,0,64,76.5051399919104,5.30243091582696,73.4209718649125,CRI,9.97330952,-84.19359756,2021
1786198773,1554,373039.209988495,0,64,79.1588903124289,5.35269399367345,74.0696256741214,CRI,9.97330952,-84.19359756,2022
0,9312,331110.847344771,0,64,113.946109239909,11.1973939927154,78.5267775178035,CUB,21.62529805,-79.03521176,2014
0,9180,331110.847344771,0,64,118.208937474033,11.174963291708,79.4578252963421,CUB,21.62529805,-79.03521176,2015
0,10965,331110.847344771,0,64,122.421591463332,11.150438975177,80.2561054539867,CUB,21.62529805,-79.03521176,2016
60572174,18589,331110.847344771,0,64,126.587016084382,11.123853444037,80.9308945854575,CUB,21.62529805,-79.03521176,2017
0,32085,331110.847344771,0,64,130.708111887508,11.0951552283892,81.5129761932491,CUB,21.62529805,-79.03521176,2018
0,62569,331110.847344771,0,64,134.78777942304,11.0642928583346,82.0331337798561,CUB,21.62529805,-79.03521176,2019
0,71146,331110.847344771,0,64,138.828919241306,11.0312148639743,82.5221508477729,CUB,21.62529805,-79.03521176,2020
0,83124,331110.847344771,0,64,142.834653523859,10.9958568499316,83.0047551444553,CUB,21.62529805,-79.03521176,2021
41817107,254523,970584.326723771,0,64,146.808990977151,10.9581027189193,83.481451397203,CUB,21.62529805,-79.03521176,2022
0,10,3544.37126664421,0,54,22.6637909711955,1.16049800134721,73.6929720517759,CYP,35.04804195,33.22710169,2014
0,5,3544.37126664421,0,54,23.5568233125802,1.17470394339358,74.6240035681639,CYP,35.04804195,33.22710169,2015
0,5,3544.37126664421,0,54,24.4724812882098,1.1885749302246,75.4625665083641,CYP,35.04804195,33.22710169,2016
0,20,3544.37126664421,0,54,25.4056012268146,1.20212347857167,76.2140650043538,CYP,35.04804195,33.22710169,2017
0,27,3544.37126664421,0,54,26.3656686221639,1.21540278187307,76.899280103835,CYP,35.04804195,33.22710169,2018
0,35,3544.37126664421,0,54,27.3621689680272,1.22846603356707,77.5389928545096,CYP,35.04804195,33.22710169,2019
0,19,3544.37126664421,0,54,28.404587758174,1.24136642709197,78.1539843040795,CYP,35.04804195,33.22710169,2020
0,20,3544.37126664421,0,54,29.4988176794603,1.25413627710412,78.760867551064,CYP,35.04804195,33.22710169,2021
0,31,74780.1055244842,0,54,30.6363801910887,1.26672438313217,79.3595838972516,CYP,35.04804195,33.22710169,2022
0,1418,53951.0674659069,0,21,266.801090374079,10.7217103967545,76.8113788767396,CZE,49.73244821,15.3141031,2014
0,1399,53951.0674659069,0,21,275.47691481533,10.7762610876896,77.7167633800637,CZE,49.73244821,15.3141031,2015
0,1499,53951.0674659069,0,21,283.010245560995,10.828668860367,78.5018782644008,CZE,49.73244821,15.3141031,2016
0,1579,53951.0674659069,0,21,289.5164885323,10.8791385055186,79.1749483380842,CZE,49.73244821,15.3141031,2017
0,1460,53951.0674659069,0,21,295.374301553631,10.9280413401451,79.7632912038146,CZE,49.73244821,15.3141031,2018
0,1347,53951.0674659069,0,21,300.962342449371,10.9757486812476,80.2942244642928,CZE,49.73244821,15.3141031,2019
0,1270,53951.0674659069,0,21,306.659269043907,11.0226318458266,80.7950657222197,CZE,49.73244821,15.3141031,2020
0,919,53951.0674659069,0,21,312.775103601594,11.0689591101397,81.2877730818997,CZE,49.73244821,15.3141031,2021
0,827,1010072.44349716,0,21,319.345326146679,11.1145865874704,81.7728666540523,CZE,49.73244821,15.3141031,2022
0,247,239624.070527105,0,64,2789.24867933476,82.2542456064494,77.0169022407795,DEU,51.10636349,10.38149384,2014
0,239,239624.070527105,0,64,2838.89806054808,82.278043235701,77.8872135860331,DEU,51.10636349,10.38149384,2015
0,195,239624.070527105,0,64,2875.72110426439,82.2995195379503,78.6533806929972,DEU,51.10636349,10.38149384,2016
0,245,239624.070527105,0,64,2900.95008935797,82.3185077101392,79.3221988427203,DEU,51.10636349,10.38149384,2017
0,237,239624.070527105,0,64,2918.65651702947,82.3366539435517,79.9170265511851,DEU,51.10636349,10.38149384,2018
0,270,239624.070527105,0,64,2932.91188847954,82.3556044294714,80.4612223343745,DEU,51.10636349,10.38149384,2019
0,237,239624.070527105,0,64,2947.78770490882,82.3770053591823,80.9781447082714,DEU,51.10636349,10.38149384,2020
0,307,239624.070527105,0,64,2966.52932055061,82.4019538805993,81.4865526655315,DEU,51.10636349,10.38149384,2021
0,696,7140058.53727711,0,64,2989.07750176859,82.4293509681618,81.9868071055021,DEU,51.10636349,10.38149384,2022
74085087,1284,29416.1006253726,0,37,2.08788707852225,0.947247054011613,79.2371569299697,DJI,11.75015588,42.56645365,2014
82001876,1601,29416.1006253726,0,37,2.18666060862461,0.961312444171235,80.10374482446,DJI,11.75015588,42.56645365,2015
74802183,2268,29416.1006253726,0,37,2.28182435505322,0.975643213810565,80.892082101224,DJI,11.75015588,42.56645365,2016
42977698,3047,29416.1006253726,0,37,2.37506866726739,0.990152854197409,81.6061820243612,DJI,11.75015588,42.56645365,2017
0,3224,29416.1006253726,0,37,2.46990055836725,1.00468171812386,82.2647908147184,DJI,11.75015588,42.56645365,2018
0,3185,29416.1006253726,0,37,2.56982704145298,1.01907015838202,82.8866546931421,DJI,11.75015588,42.56645365,2019
2630717111,3302,29416.1006253726,0,37,2.67835512962472,1.03315852776398,83.4905198804792,DJI,11.75015588,42.56645365,2020
68193940,3601,29416.1006253726,0,37,2.79848840416253,1.0468124275508,84.0912173270276,DJI,11.75015588,42.56645365,2021
40259330,2893,46634.6487191226,0,37,2.93121671906604,1.05999845297943,84.6879169008905,DJI,11.75015588,42.56645365,2022
0,21,3396.9535,0,64,190.08639827389,5.66066462695628,87.7834790663168,DNK,55.96537746,10.0513897,2014
0,26,3396.9535,0,64,193.243365655,5.68909919038104,88.0002750631593,DNK,55.96537746,10.0513897,2015
0,5,3396.9535,0,64,196.042685869592,5.71759615447465,88.2028512063142,DNK,55.96537746,10.0513897,2016
0,21,3396.9535,0,64,198.519147497659,5.74631651609577,88.3920772649742,DNK,55.96537746,10.0513897,2017
0,35,3396.9535,0,64,200.821062009007,5.77548545051671,88.5700374399074,DNK,55.96537746,10.0513897,2018
0,42,3396.9535,0,64,203.096740873442,5.8053281330098,88.7388159318819,DNK,55.96537746,10.0513897,2019
0,22,3396.9535,0,64,205.49449556077,5.83606973884736,88.900496941666,DNK,55.96537746,10.0513897,2020
0,33,3396.9535,0,64,208.13172043975,5.86785948228532,89.0568012375992,DNK,55.96537746,10.0513897,2021
0,35,255714.5144703,0,64,211.002141474965,5.90054273351414,89.2079958583064,DNK,55.96537746,10.0513897,2022
0,1487,332976.827081916,0,64,109.43165366255,10.3560444875295,71.9060138582455,DOM,18.89636587,-70.49658654,2014
0,2091,332976.827081916,0,64,113.460928037199,10.4498049163359,72.5531564955317,DOM,18.89636587,-70.49658654,2015
0,2713,332976.827081916,0,64,117.810339974122,10.5415464296889,73.1758198972531,DOM,18.89636587,-70.49658654,2016
0,3586,332976.827081916,0,64,122.44989016734,10.6312930733581,73.7749694025947,DOM,18.89636587,-70.49658654,2017
0,3878,332976.827081916,0,64,127.26708776481,10.7187011964205,74.3529887488551,DOM,18.89636587,-70.49658654,2018
737611378,4584,332976.827081916,0,64,132.149441914491,10.8034271479527,74.9122616733331,DOM,18.89636587,-70.49658654,2019
2.01e+09,4794,332976.827081916,0,64,136.984461764339,10.8851272770316,75.4551719133274,DOM,18.89636587,-70.49658654,2020
0,5277,332976.827081916,0,64,141.692141756953,10.9634874994411,75.9837089953439,DOM,18.89636587,-70.49658654,2021
1786198773,7720,924356.534269916,0,64,146.322417513495,11.0383119977938,76.4982856027168,DOM,18.89636587,-70.49658654,2022
0,8636,181715.64207299,0,52,265.12179646974,37.3972592961375,69.4614592454767,DZA,28.14888966,2.65309138,2014
0,11092,181715.64207299,0,52,277.783448388237,37.85076737595,70.1913459686123,DZA,28.14888966,2.65309138,2015
0,10882,181715.64207299,0,52,288.878744377189,38.2954041539197,70.8851417803813,DZA,28.14888966,2.65309138,2016
0,10453,181715.64207299,0,52,298.636113797204,38.7298532399484,71.5444920802158,DZA,28.14888966,2.65309138,2017
0,11628,181715.64207299,0,52,307.769653067096,39.1522128466002,72.1749189869852,DZA,28.14888966,2.65309138,2018
0,12217,181715.64207299,0,52,316.993458605675,39.5605811864391,72.781944619559,DZA,28.14888966,2.65309138,2019
0,12350,181715.64207299,0,52,327.021626831754,39.953056472029,73.3710910968066,DZA,28.14888966,2.65309138,2020
0,12874,181715.64207299,0,52,338.411363991188,40.3280103323561,73.9468315186571,DZA,28.14888966,2.65309138,2021
0,16626,3458779.00157299,0,52,351.092315638001,40.6849080620951,74.5094429092776,DZA,28.14888966,2.65309138,2022
0,7773,199170.997536632,0,64,112.831601627703,15.1787866252708,69.9779452991155,ECU,-1.42624147,-78.77228231,2014
0,11421,199170.997536632,0,64,119.016970216335,15.3407121450842,70.7169595309545,ECU,-1.42624147,-78.77228231,2015
72750000,14723,199170.997536632,0,64,124.568444779814,15.4987287367174,71.4193230233869,ECU,-1.42624147,-78.77228231,2016
0,18592,199170.997536632,0,64,129.579884761038,15.6529296384981,72.0867181649191,ECU,-1.42624147,-78.77228231,2017
0,19151,199170.997536632,0,64,134.335905355423,15.8031266860024,72.724441419529,ECU,-1.42624147,-78.77228231,2018
737611378,20984,199170.997536632,0,64,139.121121758388,15.9491317148063,73.3377892511945,ECU,-1.42624147,-78.77228231,2019
2556425000,23779,199170.997536632,0,64,144.220149165351,16.0907565604858,73.9320581238936,ECU,-1.42624147,-78.77228231,2020
0,29111,199170.997536632,0,64,149.856879428317,16.2278015684384,74.5115602397156,ECU,-1.42624147,-78.77228231,2021
1786198773,43558,1637319.35984913,0,64,156.01231102564,16.3600211233469,75.0766707531956,ECU,-1.42624147,-78.77228231,2022
4264717711,26715,776681.673874684,0,64,492.848216813041,86.3399758336312,47.1468965329365,EGY,26.49291963,29.86120871,2014
4533248258,30071,776681.673874684,0,64,520.161825432956,87.5736614652284,48.2549075304004,EGY,26.49291963,29.86120871,2015
4552032036,32818,776681.673874684,0,64,548.497576414757,88.7872587285528,49.2873021496779,EGY,26.49291963,29.86120871,2016
5575937077,36694,776681.673874684,0,64,577.752626388776,89.978523018967,50.2480084315572,EGY,26.49291963,29.86120871,2017
5608951510,41610,776681.673874684,0,64,608.09575041886,91.1437854655305,51.1578641063214,EGY,26.49291963,29.86120871,2018
5509595294,44043,776681.673874684,0,64,639.695723568857,92.2793771973031,52.0377069042536,EGY,26.49291963,29.86120871,2019
2.51e+09,42866,776681.673874684,0,64,672.721320902615,93.3816293433443,52.908374555637,EGY,26.49291963,29.86120871,2020
5852037239,48514,776681.673874684,0,64,707.347212785943,94.4474836768358,53.7862206723659,EGY,26.49291963,29.86120871,2021
6080899576,52161,10261901.5813747,0,64,743.771650792493,95.4763245474473,54.6696623927796,EGY,26.49291963,29.86120871,2022
0,416731,172619.942946568,0,21,3.48519208117392,5.855597977051,24.9257965124474,ERI,15.35751373,38.85294445,2014
0,469516,172619.942946568,0,21,3.58612609190696,6.00421479599755,25.8702424862913,ERI,15.35751373,38.85294445,2015
0,524941,172619.942946568,0,21,3.74173981134484,6.15256243261241,26.8028070416678,ERI,15.35751373,38.85294445,2016
0,564517,172619.942946568,0,21,3.95782955446778,6.30020255801237,27.724221814789,ERI,15.35751373,38.85294445,2017
0,585844,172619.942946568,0,21,4.23405550326458,6.44654741602961,28.6414677117762,ERI,15.35751373,38.85294445,2018
0,576464,172619.942946568,0,21,4.57007783972404,6.59100925049634,29.5615256387511,ERI,15.35751373,38.85294445,2019
0,597680,172619.942946568,0,21,4.96555674583494,6.73300030524474,30.4913765018349,ERI,15.35751373,38.85294445,2020
