humanitarian,humanitarian_needs,conflict,temp,nb_conflict,YMHEP,lpop,lGDPcap,ltsc0,nc,ncc1,ncc2,ltsnc,ncts0,lpop.1,lGDPcap_ltsc0,ltimeindep
0,0,0,64,0,0.872865498,8.989726067,10.36645794,4.406719247,0,0,0,3.931825638,4.406719208,8.989726067,45.68206973,4.406719208
0,0,0,64,0,0.870084643,8.993357658,10.37116718,4.418840608,0,0,0,3.951243639,4.418840408,8.993357658,45.8285347,4.418840408
0,0,0,64,0,0.867750823,8.998606682,10.38304329,4.430816799,0,0,0,3.970291853,4.43081665,8.998606682,46.00536263,4.43081665
0,0,0,64,0,0.865889251,9.00483036,10.38679409,4.442651256,0,0,0,3.988984108,4.442651272,9.00483036,46.14490382,4.442651272
0,0,0,64,0,0.864526868,9.011054993,10.40615559,4.454347296,0,0,0,4.007333279,4.454347134,9.011054993,46.352631,4.454347134
0,0,0,64,0,0.86369282,9.016586304,10.42306614,4.465908119,0,0,0,4.025351524,4.465908051,9.016586304,46.54845569,4.465908051
0,0,0,64,0,0.842213809,9.02128315,10.45415878,4.477336814,0,0,0,4.043051243,4.477336884,9.02128315,46.80678998,4.477336884
0,0,0,64,0,0.824865401,9.025390625,10.48666763,4.48863637,0,0,0,4.060442924,4.488636494,9.025390625,47.07083774,4.488636494
0,0,0,64,0,0.811909914,9.029073715,10.49658394,4.49980967,0,0,0,4.077537537,4.499809742,9.029073715,47.23262991,4.499809742
0,0,0,64,0,0.803666472,9.032613754,10.45462894,4.510859507,0,0,0,4.094344616,4.510859489,9.032613754,47.15936236,4.510859489
0,0,0,64,0,0.800504267,9.035229683,10.47350788,4.521788577,0,0,0,4.110873699,4.521788597,9.035229683,47.3589883,4.521788597
0,0,0,64,0,0.806715488,9.039381027,10.49209404,4.532599493,0,0,0,4.127134323,4.532599449,9.039381027,47.55646013,4.532599449
0,0,0,64,0,0.81292671,9.043514252,10.51019192,4.543294782,0,0,0,4.143134594,4.543294907,9.043514252,47.7509001,4.543294907
0,0,0,64,0,0.819137931,9.047631264,10.52782345,4.553876892,0,0,0,4.158883095,4.553876877,9.047631264,47.94241192,4.553876877
0,0,0,64,0,0.825349152,9.05173111,10.54500866,4.564348191,0,0,0,4.174387455,4.564348221,9.05173111,48.1310912,4.564348221
0,0,0,23,2,0.681941986,9.001807213,7.820019245,1.386294361,1,0,0,2.197224617,0,9.001807213,10.84084858,2.197224617
0,0,0,23,1,0.688171148,9.011331558,7.906672478,1.609437912,1,0,0,2.302585125,0,9.011331558,12.72529845,2.302585125
0,0,0,23,1,0.698056579,9.021570206,7.999960423,1.791759469,1,0,0,2.397895336,0,9.021570206,14.33400484,2.397895336
0,0,0,23,1,0.712333143,9.032429695,8.098544121,1.945910149,1,0,0,2.484906673,0,9.032429695,15.7590392,2.484906673
0,0,0,23,2,0.73189193,9.043710709,8.186916351,2.079441542,1,0,0,2.564949274,0,9.043710709,17.02421396,2.564949274
0,0,1,23,1,0.757813573,9.055252075,8.410975456,2.197224577,1,0,0,2.639057398,0,9.055252075,18.48080199,2.639057398
0,0,0,23,1,0.753419816,9.067048073,8.696383476,0,1,1,0,2.708050251,0,9.067048073,0,2.708050251
0,0,0,23,1,0.749052703,9.079106331,8.90858078,0,1,0,0,2.77258873,0,9.079106331,0,2.77258873
0,0,0,23,1,0.744712174,9.091294289,8.990138054,0.693147181,1,0,0,2.833213329,0,9.091294289,6.231488845,2.833213329
0,0,0,23,1,0.740398049,9.103452682,9.058302879,1.098612289,1,0,0,2.890371799,0,9.103452682,9.951562858,2.890371799
