Model,Scenario (History),Region,Variable,Unit,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010
History,WUP2009,LKA,Population|Urban|Share,%,17.884,19.826,21.89,22.069,21.579,20.13,18.607,17.174,15.829,14.732,14.312
History,WUP2009,LSO,Population|Urban|Share,%,3.415,6.342,8.608,10.822,11.45,11.752,13.967,16.955,19.972,23.276,26.884
History,WUP2009,LTU,Population|Urban|Share,%,39.46,44.45,49.555,55.685,61.158,65.038,67.583,67.285,66.986,66.642,66.984
History,WUP2009,LUX,Population|Urban|Share,%,69.556,71.958,74.374,77.297,80.042,80.669,80.947,82.893,83.752,83.928,85.186
History,WUP2009,LVA,Population|Urban|Share,%,52.867,56.832,60.713,64.157,67.095,68.56,69.25,68.75,68.067,68,67.72
History,WUP2009,MAC,Population|Urban|Share,%,95.289,96.177,97.032,97.891,98.519,99.377,99.763,99.91,100,100,100
History,WUP2009,MAR,Population|Urban|Share,%,29.357,31.862,34.477,37.714,41.21,44.779,48.391,51.692,53.335,55.207,58.239
History,WUP2009,MCO,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,MDA,Population|Urban|Share,%,23.424,27.566,32.068,36.222,40.387,44.176,46.762,46.294,44.589,43.163,46.95
History,WUP2009,MDG,Population|Urban|Share,%,10.642,12.379,14.1,16.334,18.524,20.933,23.566,25.796,27.121,28.501,30.189
History,WUP2009,MDV,Population|Urban|Share,%,11.173,11.458,11.893,17.304,22.25,25.491,25.84,25.638,27.706,33.75,40.104
History,WUP2009,MEX,Population|Urban|Share,%,50.753,54.931,59.021,62.759,66.339,68.95,71.419,73.368,74.722,76.308,77.828
History,WUP2009,MHL,Population|Urban|Share,%,35.584,42.663,53.492,60.632,58.298,61.945,65.054,66.727,68.364,70.037,71.759
History,WUP2009,MKD,Population|Urban|Share,%,34.02,40.355,47.079,50.569,53.469,55.696,57.789,59.725,59.361,59.068,59.313
History,WUP2009,MLI,Population|Urban|Share,%,11.066,12.608,14.33,16.244,18.484,21.013,23.322,25.519,28.337,31.994,35.857
History,WUP2009,MLT,Population|Urban|Share,%,90.129,89.825,89.699,89.742,89.785,89.828,90.381,90.946,92.368,93.645,94.668
History,WUP2009,MMR,Population|Urban|Share,%,19.226,20.971,22.83,23.922,23.973,24.09,24.709,25.927,27.797,30.396,33.647
History,WUP2009,MNE,Population|Urban|Share,%,18.788,22.566,26.853,31.622,36.813,42.325,48.037,53.365,58.544,61.772,61.458
History,WUP2009,MNG,Population|Urban|Share,%,35.679,42.114,45.052,48.656,52.083,55.04,57.033,56.805,56.856,59.467,62.026
History,WUP2009,MNP,Population|Urban|Share,%,51.219,58.759,70.062,80.554,86.784,88.381,89.731,89.557,90.162,90.766,91.337
History,WUP2009,MOZ,Population|Urban|Share,%,3.667,4.608,5.78,8.695,13.111,16.746,21.096,26.221,30.691,34.5,38.434
History,WUP2009,MRT,Population|Urban|Share,%,6.88,10.09,14.564,20.569,27.371,34.994,39.671,39.83,39.989,40.398,41.434
History,WUP2009,MSR,Population|Urban|Share,%,15.82,13.405,11.425,11.984,12.549,12.549,12.549,12.847,11.016,13.509,14.253
History,WUP2009,MTQ,Population|Urban|Share,%,40.089,49.953,61.018,71.199,79.612,83.82,86.283,88.423,89.713,89.342,89.046
History,WUP2009,MUS,Population|Urban|Share,%,33.177,36.999,42.032,43.443,42.351,42.325,43.9,43.284,42.67,42.18,41.837
History,WUP2009,MWI,Population|Urban|Share,%,4.39,4.908,6.053,7.652,9.05,10.163,11.56,13.263,15.176,17.336,19.769
History,WUP2009,MYS,Population|Urban|Share,%,26.598,29.913,33.454,37.652,42.044,45.893,49.794,55.688,61.977,67.615,72.171
History,WUP2009,MYT,Population|Urban|Share,%,16.333,22.033,25.146,27.544,30.08,32.999,36.057,41.458,47.731,50.232,50.075
History,WUP2009,NAM,Population|Urban|Share,%,17.909,20.035,22.292,23.651,25.066,26.366,27.656,29.813,32.373,35.069,37.977
History,WUP2009,NCL,Population|Urban|Share,%,37.36,44.646,51.232,55.165,57.426,58.834,59.537,60.09,59.204,57.98,57.358
History,WUP2009,NER,Population|Urban|Share,%,5.793,6.809,8.794,11.419,13.443,14.536,15.368,15.773,16.186,16.619,17.109
History,WUP2009,NGA,Population|Urban|Share,%,16.161,20.108,22.706,25.533,28.582,31.837,35.282,38.87,42.516,46.174,49.803
History,WUP2009,NIC,Population|Urban|Share,%,39.581,42.707,47.03,48.737,49.938,51.138,52.337,53.534,54.737,55.933,57.319
History,WUP2009,NIU,Population|Urban|Share,%,21.506,21.509,21.095,23.355,27.031,31.048,30.895,31.452,33.069,35.212,37.542
History,WUP2009,NLD,Population|Urban|Share,%,59.752,60.753,61.663,63.183,64.745,66.719,68.684,72.811,76.799,80.2,82.861
History,WUP2009,NOR,Population|Urban|Share,%,49.92,57.568,65.396,68.187,70.545,71.31,71.956,73.764,76.081,77.49,79.411
History,WUP2009,NPL,Population|Urban|Share,%,3.48,3.737,3.956,4.83,6.091,7.386,8.854,10.895,13.431,15.919,18.621
History,WUP2009,NRU,Population|Urban|Share,%,100,100,100,100,100,100,100,100,100,100,100
History,WUP2009,NZL,Population|Urban|Share,%,75.998,78.891,81.106,82.774,83.428,83.673,84.742,85.333,85.677,86.052,86.2
History,WUP2009,OMN,Population|Urban|Share,%,16.4,22.338,29.665,38.213,47.562,57.079,66.102,71.669,71.569,71.861,73.035
History,WUP2009,PAK,Population|Urban|Share,%,22.104,23.511,24.817,26.341,28.066,29.344,30.576,31.836,33.138,34.481,35.895
History,WUP2009,PAN,Population|Urban|Share,%,41.249,44.431,47.64,49.038,50.446,52.097,53.866,59.974,65.787,70.797,74.799
History,WUP2009,PCN,Population|Urban|Share,%,0,0,0,0,0,0,0,0,0,0,0
History,WUP2009,PER,Population|Urban|Share,%,46.811,51.868,57.406,61.461,64.574,66.864,68.901,70.951,73.042,75.034,76.92
History,WUP2009,PHL,Population|Urban|Share,%,30.297,31.604,32.979,35.56,37.481,43.046,48.59,48.29,47.99,48.103,48.903
History,WUP2009,PLW,Population|Urban|Share,%,56.823,58.276,59.715,61.138,62.542,67.38,69.593,71.431,69.963,77.7,83.386
History,WUP2009,PNG,Population|Urban|Share,%,3.725,5.47,9.796,11.93,13.047,13.998,14.994,14.081,13.204,12.589,12.526
History,WUP2009,POL,Population|Urban|Share,%,47.892,50.126,52.125,55.28,58.086,59.942,61.27,61.493,61.716,61.456,60.958
