timeindep,ltsc0,d1950,d1960,d1970,d1980,d1990,d2000,region,nb_conflict,ncts0,nc2l,timeinstatusnc,ltisnc,ltsnc,ltimeindep,temperature,prec_gpcc,temptemp,tempmean,tempdev,YMHEP,YMHEP_ltsc0,lpop,lGDPcap,lpop_ltsc0,lGDPcap_ltsc0,conflict_actual,conflict_prediction
15.0,2.71,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,12.0,11.0,2.4,2.71,17.7,79.62,-99.0,17.79,-0.09,0.15,0.41,8.46,7.27,22.92,19.68,0,0
27.0,3.3,0.0,0.0,0.0,1.0,0.0,0.0,6.0,2.0,0.0,1.0,2.0,1.0,0.0,3.3,27.96,25.53,27.96,27.6,0.36,0.03,0.09,8.87,6.58,29.22,21.7,0,2
20.0,2.77,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,2.77,0.0,13.0,12.0,2.48,3.0,10.55,262.05,-99.0,9.75,0.8,0.93,2.57,8.23,8.96,22.82,24.84,0,0
157.0,5.06,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,5.06,0.0,25.0,24.0,3.18,5.06,8.91,235.08,8.91,9.86,-0.95,0.69,3.49,9.2,10.03,46.53,50.71,0,0
36.0,3.58,0.0,0.0,0.0,1.0,0.0,0.0,9.0,0.0,3.58,0.0,36.0,35.0,3.56,3.58,10.87,319.53,10.87,11.51,-0.64,0.84,3.02,10.59,8.87,37.97,31.8,0,0
7.0,1.95,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,2.0,1.0,0.0,1.95,26.54,490.37,-99.0,27.12,-0.57,0.03,0.06,8.65,6.31,16.84,12.27,0,2
21.0,3.04,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,14.0,13.0,2.56,3.04,9.7,146.03,-99.0,8.63,1.08,0.92,2.8,10.71,8.8,32.61,26.79,0,0
22.0,2.4,0.0,0.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,1.0,7.0,6.0,1.79,3.09,26.58,274.76,26.58,26.8,-0.22,0.28,0.68,11.26,7.23,27.0,17.35,0,0
97.0,4.57,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,4.57,0.0,2.0,1.0,0.0,4.57,9.24,144.42,-99.0,8.97,0.26,0.52,2.36,5.79,9.93,26.49,45.43,0,0
180.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,14.0,13.0,2.56,5.19,23.46,283.08,23.46,23.17,0.29,0.25,0.0,8.38,8.43,0.0,0.0,0,1
39.0,0.69,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,1.0,40.0,39.0,3.66,3.66,22.89,403.55,22.89,22.95,-0.06,0.2,0.14,8.44,6.91,5.85,4.79,0,0
82.0,3.95,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,3.95,0.0,10.0,9.0,2.2,4.41,8.99,163.74,-99.0,9.0,-0.01,0.6,2.37,9.82,8.24,38.81,32.56,0,0
44.0,3.78,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,41.0,40.0,3.69,3.78,18.72,24.78,18.72,18.5,0.22,0.54,2.03,8.12,8.1,30.72,30.65,0,0
149.0,4.16,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,25.0,24.0,3.18,5.0,23.9,477.16,23.9,24.13,-0.22,0.15,0.64,8.47,7.91,35.22,32.9,0,0
20.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,13.0,12.0,2.48,3.0,9.16,116.92,-99.0,8.63,0.54,0.92,2.75,10.72,8.76,32.11,26.24,0,0
33.0,2.64,0.0,0.0,0.0,0.0,1.0,0.0,6.0,1.0,0.0,1.0,19.0,18.0,2.89,3.5,28.93,33.85,28.93,28.76,0.17,0.26,0.68,7.7,7.47,20.31,19.71,0,0
13.0,2.56,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.56,0.0,14.0,13.0,2.56,2.56,25.07,551.81,25.07,24.84,0.23,0.1,0.25,5.97,7.19,15.32,18.44,0,0
42.0,1.95,0.0,0.0,0.0,0.0,0.0,1.0,6.0,1.0,0.0,1.0,13.0,12.0,2.48,3.74,29.23,65.31,-99.0,28.5,0.73,0.05,0.1,9.29,6.82,18.09,13.28,0,0
45.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,2.0,0.0,1.0,15.0,14.0,2.64,3.81,19.16,109.09,19.16,19.4,-0.25,0.24,0.0,11.67,7.47,0.0,0.0,0,2
263.0,1.1,0.0,1.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,1.0,14.0,13.0,2.56,5.57,6.09,138.94,-99.0,6.22,-0.13,0.09,0.1,13.43,5.11,14.76,5.62,0,0
18.0,2.89,0.0,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,1.0,11.0,10.0,2.3,2.89,6.45,186.08,-99.0,6.49,-0.03,0.65,1.87,7.66,9.47,22.13,27.36,0,0
26.0,3.26,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,14.0,13.0,2.56,3.26,21.18,215.36,21.18,20.81,0.37,0.12,0.39,9.15,6.34,29.82,20.66,0,0
55.0,2.08,0.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,0.0,1.0,50.0,49.0,3.89,4.01,19.9,100.49,19.9,18.22,1.68,0.41,0.86,8.06,9.22,16.75,19.17,0,0
168.0,4.08,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,4.08,0.0,18.0,17.0,2.83,5.12,25.15,941.08,-99.0,24.79,0.36,0.37,1.5,8.42,9.25,34.33,37.7,0,0
215.0,4.87,0.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,5.37,6.46,191.46,6.46,6.92,-0.46,0.87,4.26,12.51,10.46,60.9,50.89,0,0
